NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24962951,deteriorated and perforated on support,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. remove parted support and replace hilti modular support
24962958,damage parted on cable coolers,3,to be repaired/ replaced,revise,to be rectified,reinstate damage and parted cable coolers. paint corroded support. powerbrush and paint. rust grade d
24962959,damage parted on cable coolers,3,to be repaired/ replaced,revise,to be rectified,reinstate damage and parted cable coolers. paint corroded support. powerbrush and paint. rust grade d
24962961,damage parted on cable coolers,3,to be repaired/ replaced,revise,to be rectified,reinstate damage and parted cable coolers. paint corroded support. powerbrush and paint. rust grade d
24962962,damage parted on cable coolers,3,to be repaired/ replaced,revise,to be rectified,reinstate damage and parted cable coolers. paint corroded support. powerbrush and paint. rust grade d
24962963,damage parted on cable coolers,3,to be repaired/ replaced,revise,to be rectified,reinstate damage and parted cable coolers. paint corroded support. powerbrush and paint. rust grade d
24989435,parted and perforation noted on associated piping support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove parted support and replace hilti modular support
24989449,perforated and deteriorated noted on associated stand support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support . replace with hilti modular support
24989451,perforated and deteriorated noted on associated stand support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989467,equipment detached from support,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade c. remove parted support and replace hilti modular support
24989482,perforated deteriorated noted on associated deck plate structure,2,to be repaired/ replaced,revise,to be rectified,rectify using metal putty devcon
24989488,piping support perforated and deteriorated,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded pipe and support. rust grade d. remove parted support and replace hilti modular support
24989491,deterioration and perforated noted on associated hose reel support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989498,perforated noted on service platform support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989500,parted deteriorated noted on piping support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove parted support and replace hilti modular support
24989502,deterioration and perforated noted on associated hose reel support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989507,deterioration and perforated noted on associated framing support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989508,parted and perforated noted on associated piping structure selected area,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989517,parted and severe corrosion noted on associated support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989524,deteriorated and perforated noted on lamp post support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989532,associated cable support deteriorated and parted selected area,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove parted support and replace hilti modular support
24989533,junction box detached from support structure,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24989534,parted and perforated noted on associated piping structure selected area,2,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove parted support and replace hilti modular support
